Timestamp	Process	TID	Area	Category	EventID	Level	Message	Correlation
07/01/2016 01:15:44.177 	com.microsoft.Office365ServiceV2	0xb0115000	                        com.microsoft.Office365ServiceV2	sharedcreds.storageapi	iawrf	Information 	ReadData::ReadAll: SecItemCopyMatching err: -25300	1748A0D8-51E7-42E3-8E53-C6EB838E15E3 
07/01/2016 01:15:44.216 	com.microsoft.Office365ServiceV2	0xb0115000	                        com.microsoft.Office365ServiceV2	sharedcreds.storageapi	iawrf	Information 	ReadData::ReadAll: SecItemCopyMatching err: -25300	1748A0D8-51E7-42E3-8E53-C6EB838E15E3 
07/01/2016 01:15:44.224 	com.microsoft.Office365ServiceV2	0xb0197000	                        com.microsoft.Office365ServiceV2	sharedcreds.storageapi	iawrf	Information 	ReadData::ReadAll: SecItemCopyMatching err: -25300	1748A0D8-51E7-42E3-8E53-C6EB838E15E3 
07/01/2016 01:15:44.285 	com.microsoft.Office365ServiceV2	0xb0115000	                        com.microsoft.Office365ServiceV2	Office365App	ia4ny	Information 	Machine provisioned	1748A0D8-51E7-42E3-8E53-C6EB838E15E3 
07/01/2016 01:15:46.233 	com.microsoft.Office365ServiceV2	0xb0219000	                        com.microsoft.Office365ServiceV2	Office365App	ibo8v	Warning 	ChkHr in tracecore, error: 80070103	1748A0D8-51E7-42E3-8E53-C6EB838E15E3 
07/01/2016 01:15:46.233 	com.microsoft.Office365ServiceV2	0xb0219000	                        com.microsoft.Office365ServiceV2	Office365App	ibo8i	Warning 	ChkHr in tracecore, error: 80070103	1748A0D8-51E7-42E3-8E53-C6EB838E15E3 
07/01/2016 01:15:46.508 	com.microsoft.Office365ServiceV2	0xb0115000	                        com.microsoft.Office365ServiceV2	Office365App	ibo8v	Warning 	ChkHr in tracecore, error: 80070103	1748A0D8-51E7-42E3-8E53-C6EB838E15E3 
07/01/2016 01:15:46.508 	com.microsoft.Office365ServiceV2	0xb0115000	                        com.microsoft.Office365ServiceV2	Office365App	ibo8i	Warning 	ChkHr in tracecore, error: 80070103	1748A0D8-51E7-42E3-8E53-C6EB838E15E3 
07/01/2016 01:15:47.333 	com.microsoft.Office365ServiceV2	0xb0219000	                        com.microsoft.Office365ServiceV2	Office365App	ibo8v	Warning 	ChkHr in tracecore, error: 80070103	1748A0D8-51E7-42E3-8E53-C6EB838E15E3 
07/01/2016 01:15:47.333 	com.microsoft.Office365ServiceV2	0xb0219000	                        com.microsoft.Office365ServiceV2	Office365App	ibo8i	Warning 	ChkHr in tracecore, error: 80070103	1748A0D8-51E7-42E3-8E53-C6EB838E15E3 
07/01/2016 01:15:47.589 	com.microsoft.Office365ServiceV2	0xb0115000	                        com.microsoft.Office365ServiceV2	Office365App	ibo8v	Warning 	ChkHr in tracecore, error: 80070103	1748A0D8-51E7-42E3-8E53-C6EB838E15E3 
07/01/2016 01:15:47.589 	com.microsoft.Office365ServiceV2	0xb0115000	                        com.microsoft.Office365ServiceV2	Office365App	ibo8i	Warning 	ChkHr in tracecore, error: 80070103	1748A0D8-51E7-42E3-8E53-C6EB838E15E3 
07/01/2016 01:15:59.033 	com.microsoft.Office365ServiceV2	0xb0115000	                        com.microsoft.Office365ServiceV2	nexusupload	iasgy	Information 	UIIScrubber scrubbed 4 instances	1748A0D8-51E7-42E3-8E53-C6EB838E15E3 
07/01/2016 01:20:49.111 	com.microsoft.Office365ServiceV2	0xb0081000	                        com.microsoft.Office365ServiceV2	Office365App	ia4op	Warning 	Error on accept: 316, Unknown error: 316	1748A0D8-51E7-42E3-8E53-C6EB838E15E3 
